,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구
0,59,44,98,86,81,107,128,259,96,117,176,168,81
1,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구,기타
2,122,132,192,140,67,118,135,219,128,164,226,131,258
