#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
198,Grenada,148,,1,,136,,11,,"1,312",9,"19,171","169,918","112,825",North America,762,"112,825",6
199,Dominica,117,,,,106,,11,,"1,623",,"8,740","121,237","72,090",North America,616,,8
200,British Virgin Islands,114,,1,,95,,18,,"3,757",33,"13,223","435,727","30,347",North America,266,"30,347",2
201,Timor-Leste,68,,,,54,,14,,51,,"18,752","14,069","1,332,838",Asia,"19,601",,71
202,Fiji,55,,2,,53,,0,,61,2,"24,545","27,266","900,196",Australia/Oceania,"16,367","450,098",37
203,Macao,47,,,,46,,1,,72,,"4,348","6,644","654,426",Asia,"13,924",,151
204,Laos,44,,,,41,,3,,6,,"102,473","13,968","7,336,251",Asia,"166,733",,72
205,New Caledonia,44,,,,43,,1,,153,,"19,879","69,245","287,081",Australia/Oceania,"6,525",,14
206,Falkland Islands,41,,,,34,,7,,"11,588",,"6,685","1,889,486","3,538",South America,86,,1
207,Saint Kitts and Nevis,37,,,,35,,2,,693,,"7,203","134,847","53,416",North America,"1,444",,7
208,Greenland,30,,,,30,,0,,528,,"17,382","305,876","56,827",North America,"1,894",,3
209,Vatican City,27,,,,15,,12,,"33,666",,,,802,Europe,30,,
210,Saint Pierre Miquelon,24,,,,16,,8,,"4,154",,"3,729","645,379","5,778",North America,241,,2
211,Solomon Islands,17,,,,10,,7,,24,,"4,500","6,461","696,503",Australia/Oceania,"40,971",,155
212,Anguilla,16,,,,15,,1,,"1,061",,"7,326","485,809","15,080",North America,943,,2
213,Montserrat,13,,1,,12,,0,,"2,603",200,626,"125,350","4,994",North America,384,"4,994",8
214,Western Sahara,10,,1,,8,,1,,17,2,,,"605,725",Africa,"60,573","605,725",
215,MS Zaandam,9,,2,,7,,0,,,,,,,,,,
216,Wallis and Futuna,5,,,,4,,1,,449,,"1,202","108,055","11,124",Australia/Oceania,"2,225",,9
217,Marshall Islands,4,,,,4,,0,,67,,,,"59,421",Australia/Oceania,"14,855",,
218,Samoa,2,,,,2,,0,,10,,,,"199,176",Australia/Oceania,"99,588",,
219,Micronesia,1,,,,1,,0,,9,,,,"115,718",Australia/Oceania,"115,718",,
220,Vanuatu,1,,,,1,,0,,3,,470,"1,510","311,247",Australia/Oceania,"311,247",,662
221,China,"89,378",+52,"4,636",,"82,940",+70,"1,802",99,62,3,"160,000,000","111,163","1,439,323,776",Asia,"16,104","310,467",9
