#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
38,Romania,"77,544","+1,189","3,233",+37,"35,079",+556,"39,232",504,"4,035",168,"1,639,370","85,300","19,218,793",Europe,248,"5,945",12
39,Belarus,"70,111",,632,,"68,256",,"1,223",,"7,420",67,"1,455,885","154,080","9,448,874",Europe,135,"14,951",6
40,Guatemala,"66,941",,"2,532",,"55,314",,"9,095",5,"3,727",141,"216,776","12,070","17,960,500",North America,268,"7,093",83
41,UAE,"66,617",+424,372,+2,"58,408",+112,"7,837",,"6,724",38,"6,418,188","647,845","9,906,975",Asia,149,"26,632",2
42,Netherlands,"65,589",,"6,195",,N/A,N/A,N/A,56,"3,827",361,"1,312,787","76,591","17,140,305",Europe,261,"2,767",13
43,Poland,"61,181",+900,"1,951",+13,"41,661",+632,"17,569",79,"1,617",52,"2,493,423","65,893","37,840,609",Europe,619,"19,395",15
44,Japan,"59,721",,"1,155",,"46,467",,"12,099",243,472,9,"1,282,693","10,146","126,420,061",Asia,"2,117","109,455",99
45,Singapore,"56,266",+50,27,,"53,651",,"2,588",,"9,607",5,"1,745,928","298,102","5,856,815",Asia,104,"216,919",3
46,Portugal,"55,211",,"1,792",,"40,473",,"12,946",41,"5,417",176,"1,896,675","186,088","10,192,380",Europe,185,"5,688",5
47,Honduras,"53,381",+562,"1,632",+13,"8,271",+189,"43,478",48,"5,378",164,"130,864","13,184","9,926,165",North America,186,"6,082",76
48,Nigeria,"51,304",,996,,"37,885",,"12,423",7,248,5,"369,904","1,789","206,816,326",Africa,"4,031","207,647",559
49,Morocco,"49,247",,817,,"34,199",,"14,231",31,"1,332",22,"1,670,569","45,186","36,971,284",Africa,751,"45,252",22
50,Bahrain,"48,661",,181,,"45,166",,"3,314",36,"28,472",106,"1,020,803","597,273","1,709,107",Asia,35,"9,443",2
51,Ghana,"43,325",,261,,"41,408",,"1,656",5,"1,390",8,"432,372","13,876","31,160,119",Africa,719,"119,387",72
52,Kyrgyzstan,"42,889",+186,"1,055",,"36,056",+225,"5,778",24,"6,559",161,"267,718","40,942","6,538,894",Asia,152,"6,198",24
53,Armenia,"42,616",+139,850,+8,"35,907",+214,"5,859",,"14,378",287,"193,693","65,348","2,964,038",Asia,70,"3,487",15
54,Algeria,"40,667",,"1,418",,"28,587",,"10,662",41,925,32,,,"43,958,573",Africa,"1,081","31,000",
55,Switzerland,"39,332",,"2,000",,"33,900",,"3,432",14,"4,540",231,"920,489","106,249","8,663,543",Europe,220,"4,332",9
56,Uzbekistan,"38,231",+157,262,+2,"33,989",,"3,980",277,"1,140",8,"1,377,915","41,088","33,535,914",Asia,877,"128,000",24
57,Venezuela,"38,219",,317,,"27,306",,"10,596",85,"1,345",11,"1,678,639","59,057","28,424,212",South America,744,"89,666",17
58,Afghanistan,"37,953",+59,"1,385",,"28,016",,"8,552",31,972,35,"100,679","2,579","39,045,465",Asia,"1,029","28,192",388
59,Ethiopia,"37,665",,637,,"13,913",,"23,115",248,327,6,"717,128","6,217","115,340,796",Africa,"3,062","181,069",161
60,Azerbaijan,"34,921",,512,,"32,682",,"1,727",,"3,440",50,"861,788","84,889","10,151,985",Asia,291,"19,828",12
61,Moldova,"32,484",,929,,"22,683",,"8,872",362,"8,055",230,"183,923","45,609","4,032,600",Europe,124,"4,341",22
62,Costa Rica,"32,134",,340,,"10,159",,"21,635",124,"6,300",67,"128,308","25,155","5,100,635",North America,159,"15,002",40
63,Kenya,"31,763",,532,,"18,157",,"13,074",44,589,10,"412,080","7,641","53,929,815",Africa,"1,698","101,372",131
64,Nepal,"30,483",,137,,"18,214",,"12,132",,"1,044",5,"892,301","30,550","29,207,992",Asia,958,"213,197",33
65,Serbia,"30,378",,692,,"28,275",,"1,411",52,"3,479",79,"854,059","97,805","8,732,229",Europe,287,"12,619",10
66,Ireland,"27,755",,"1,776",,"23,364",,"2,615",6,"5,612",359,"760,601","153,798","4,945,460",Europe,178,"2,785",7
67,Austria,"25,062",+300,732,+2,"21,406",+146,"2,924",22,"2,780",81,"1,087,155","120,612","9,013,679",Europe,360,"12,314",8
68,Australia,"24,602",+195,485,+13,"18,759",+299,"5,358",43,963,19,"5,646,546","221,078","25,540,986",Australia/Oceania,"1,038","52,662",5
69,El Salvador,"24,420",+220,654,+8,"12,021",+240,"11,745",391,"3,762",101,"293,218","45,174","6,490,852",North America,266,"9,925",22
70,Czechia,"21,551",,411,,"16,040",,"5,100",22,"2,012",38,"826,072","77,118","10,711,831",Europe,497,"26,063",13
71,Cameroon,"18,762",,408,,"16,540",,"1,814",30,704,15,"149,000","5,594","26,633,352",Africa,"1,420","65,278",179
72,Palestine,"18,476",+163,122,,"11,102",,"7,252",,"3,611",24,"214,862","41,988","5,117,213",Asia,277,"41,944",24
73,Bosnia and Herzegovina,"17,396",,526,,"11,157",,"5,713",,"5,307",160,"172,841","52,731","3,277,818",Europe,188,"6,232",19
74,Ivory Coast,"17,310",,112,,"14,820",,"2,378",,654,4,"118,065","4,461","26,464,801",Africa,"1,529","236,293",224
75,S. Korea,"17,002",+332,309,,"14,169",+49,"2,524",25,332,6,"1,775,800","34,633","51,275,535",Asia,"3,016","165,940",29
76,Denmark,"16,127",,621,,"13,944",,"1,562",1,"2,783",107,"2,104,747","363,193","5,795,113",Europe,359,"9,332",3
77,Bulgaria,"15,131",,539,,"10,282",,"4,310",73,"2,180",78,"365,096","52,602","6,940,723",Europe,459,"12,877",19
78,Madagascar,"14,218",,178,,"13,206",,834,76,512,6,"54,432","1,959","27,784,978",Africa,"1,954","156,095",510
79,North Macedonia,"13,308",,557,,"9,977",,"2,774",4,"6,388",267,"134,318","64,472","2,083,362",Europe,157,"3,740",16
80,Senegal,"12,689",,262,,"8,165",,"4,262",38,755,16,"135,770","8,081","16,802,022",Africa,"1,324","64,130",124
81,Sudan,"12,623",,812,,"6,476",,"5,335",,287,18,401,9,"43,985,607",Africa,"3,485","54,169","109,690"
82,Paraguay,"12,536",,182,,"7,007",,"5,347",62,"1,755",25,"169,260","23,690","7,144,681",South America,570,"39,256",42
83,Lebanon,"11,580",,116,,"3,204",,"8,260",73,"1,698",17,"451,309","66,165","6,820,973",Asia,589,"58,801",15
84,Zambia,"10,627",,277,,"9,126",,"1,224",,576,15,"103,023","5,584","18,451,311",Africa,"1,736","66,611",179
85,Norway,"10,275",,264,,"9,150",,861,,"1,893",49,"601,569","110,843","5,427,206",Europe,528,"20,558",9
86,Libya,"10,121",,180,,"1,053",,"8,888",,"1,470",26,"91,289","13,261","6,884,183",Africa,680,"38,245",75
87,DRC,"9,811",+9,251,+3,"8,920",,640,,109,3,,,"89,914,278",Africa,"9,165","358,224",
88,Malaysia,"9,249",,125,,"8,945",,179,7,285,4,"1,160,390","35,789","32,423,367",Asia,"3,506","259,387",28
89,Guinea,"8,932",,53,,"7,648",,"1,231",24,678,4,"19,232","1,459","13,179,557",Africa,"1,476","248,671",685
90,French Guiana,"8,777",,55,,"8,251",,471,15,"29,286",184,"48,827","162,918","299,703",South America,34,"5,449",6
91,Gabon,"8,388",,53,,"6,734",,"1,601",2,"3,757",24,"107,403","48,104","2,232,722",Africa,266,"42,127",21
92,Tajikistan,"8,241",,66,,"7,040",,"1,135",,861,7,,,"9,566,269",Asia,"1,161","144,943",
93,Greece,"8,138",,238,,"3,804",,"4,096",28,781,23,"826,804","79,381","10,415,597",Europe,"1,280","43,763",13
94,Albania,"8,119",,240,,"4,096",,"3,783",15,"2,822",83,"50,036","17,390","2,877,342",Europe,354,"11,989",58
95,Haiti,"8,016",,196,,"5,447",,"2,373",,702,17,"21,826","1,911","11,421,799",North America,"1,425","58,274",523
96,Finland,"7,906",+35,334,,"7,100",,472,,"1,427",60,"548,857","99,037","5,541,956",Europe,701,"16,593",10
97,Luxembourg,"7,704",,124,,"6,969",,611,3,"12,280",198,"712,774","1,136,130","627,370",Europe,81,"5,059",1
98,Croatia,"7,594",,169,,"5,584",,"1,841",12,"1,851",41,"146,168","35,637","4,101,544",Europe,540,"24,269",28
99,Mauritania,"6,885",,158,,"6,186",,541,3,"1,476",34,"68,872","14,761","4,665,754",Africa,678,"29,530",68
100,Maldives,"6,564",,26,,"4,012",,"2,526",12,"12,114",48,"101,730","187,749","541,839",Asia,83,"20,840",5
101,Zimbabwe,"5,815",,152,,"4,587",,"1,076",,390,10,"149,748","10,055","14,892,674",Africa,"2,561","97,978",99
102,Djibouti,"5,382",,60,,"5,233",,89,,"5,436",61,"64,206","64,856","989,976",Africa,184,"16,500",15
103,Malawi,"5,322",,166,,"2,929",,"2,227",4,277,9,"41,474","2,161","19,195,165",Africa,"3,607","115,634",463
104,Namibia,"5,227",,42,,"2,457",,"2,728",5,"2,052",16,"47,122","18,500","2,547,153",Africa,487,"60,647",54
105,Hungary,"5,133",+35,611,,"3,692",+11,830,7,532,63,"394,911","40,895","9,656,783",Europe,"1,881","15,805",24
106,Equatorial Guinea,"4,926",,83,,"2,713",,"2,130",,"3,496",59,"49,215","34,932","1,408,900",Africa,286,"16,975",29
107,CAR,"4,679",,61,,"1,755",,"2,863",2,966,13,"30,775","6,357","4,841,198",Africa,"1,035","79,364",157
108,Hong Kong,"4,658",+26,76,+1,"3,974",+74,608,29,621,10,"780,415","103,979","7,505,531",Asia,"1,611","98,757",10
109,Nicaragua,"4,311",,133,,"2,913",,"1,265",,650,20,,,"6,635,492",North America,"1,539","49,891",
110,Montenegro,"4,277",,82,,"3,281",,914,,"6,810",131,"44,724","71,208","628,077",Europe,147,"7,659",14
111,Eswatini,"4,128",,81,,"2,682",,"1,365",11,"3,553",70,"28,380","24,427","1,161,840",Africa,281,"14,344",41
112,Congo,"3,850",,77,,"1,625",,"2,148",,695,14,,,"5,536,089",Africa,"1,438","71,897",
113,Cuba,"3,582",,89,,"2,951",,542,3,316,8,"346,439","30,589","11,325,616",North America,"3,162","127,254",33
114,Suriname,"3,460",,56,,"2,498",,906,20,"5,891",95,"6,167","10,499","587,369",South America,170,"10,489",95
115,Cabo Verde,"3,412",,37,,"2,498",,877,,"6,128",66,"73,900","132,716","556,828",Africa,163,"15,049",8
116,Thailand,"3,390",,58,,"3,220",+1,112,1,49,0.8,"749,213","10,730","69,825,052",Asia,"20,597","1,203,880",93
117,Slovakia,"3,316",+91,33,,"2,147",+102,"1,136",7,607,6,"311,099","56,978","5,460,023",Europe,"1,647","165,455",18
